ClassID,contents_num,reward_id,ClassName,season_idx,RankType,start_date,end_date,Interval,Desc,dungeonType
1,0,0,Dummy,,,,,,더미,
14,1,1,14,20210821,All,2021-08-21 06:00:00,2021-08-27 23:59:59,Week,주간,TOSHero_Straight
15,1,1,15,20210828,All,2021-08-28 06:00:00,2021-09-03 23:59:59,Week,주간,TOSHero_Straight
16,1,1,16,20210904,All,2021-09-04 06:00:00,2021-09-10 23:59:59,Week,주간,TOSHero_Straight
17,1,1,17,20210911,All,2021-09-11 06:00:00,2021-09-17 23:59:59,Week,주간,TOSHero_Straight
18,1,1,18,20210918,All,2021-09-18 06:00:00,2021-09-24 23:59:59,Week,주간,TOSHero_Straight
19,1,1,19,20210925,All,2021-09-25 06:00:00,2021-10-01 23:59:59,Week,주간,TOSHero_Straight
20,1,1,20,20211002,All,2021-10-02 06:00:00,2021-10-08 23:59:59,Week,주간,TOSHero_Straight
21,1,1,21,20211009,All,2021-10-09 06:00:00,2021-10-15 23:59:59,Week,주간,TOSHero_Straight
22,1,1,22,20211016,All,2021-10-16 06:00:00,2021-10-22 23:59:59,Week,주간,TOSHero_Straight
23,1,1,23,20211023,All,2021-10-23 06:00:00,2021-10-29 23:59:59,Week,주간,TOSHero_Straight
24,1,1,24,20211030,All,2021-10-30 06:00:00,2021-11-05 23:59:59,Week,주간,TOSHero_Straight
25,1,1,25,20211106,All,2021-11-06 06:00:00,2021-11-12 23:59:59,Week,주간,TOSHero_Straight
26,1,1,26,20211113,All,2021-11-13 06:00:00,2021-11-19 23:59:59,Week,주간,TOSHero_Straight
27,1,1,27,20211120,All,2021-11-20 06:00:00,2021-11-26 23:59:59,Week,주간,TOSHero_Straight
28,1,1,28,20211127,All,2021-11-27 06:00:00,2021-12-03 23:59:59,Week,주간,TOSHero_Straight
29,1,1,29,20211204,All,2021-12-04 06:00:00,2021-12-10 23:59:59,Week,주간,TOSHero_Straight
30,1,1,30,20211211,All,2021-12-11 06:00:00,2021-12-17 23:59:59,Week,주간,TOSHero_Straight
31,1,1,31,20211218,All,2021-12-18 06:00:00,2021-12-24 23:59:59,Week,주간,TOSHero_Straight
32,1,1,32,20211225,All,2021-12-25 06:00:00,2021-12-31 23:59:59,Week,주간,TOSHero_Straight
